,url,outlet,Author,Date,Title,page_num
387,https://www.texastribune.org/2022/09/22/pete-buttigieg-texas-tribune-festival/,Texas Tribune,JOSHUA FECHTER,"SEPT. 22, 2022","Pete Buttigieg blasts Texas Republicans on handling of migrants, LGBTQ rights",387
388,https://www.texastribune.org/2022/09/21/texas-tarrant-county-juvenile-prison-alex-kim/,Texas Tribune,JOLIE MCCULLOUGH,"SEPT. 21, 2022",Tarrant County sends more kids to youth prisons than any other in Texas. Many blame this judge.,388
389,https://www.texastribune.org/2022/09/23/texas-2023-legislative-session-preview-abortion-guns/,Texas Tribune,WILLIAM MELHADO,"SEPT. 23, 2022","Ahead of the 2023 session, Texas lawmakers previewed their objectives. Here are five things you need to know.",389
390,https://www.texastribune.org/2022/09/24/ted-cruz-gun-laws/,Texas Tribune,STEPHEN NEUKAM,"SEPT. 24, 2022",Ted Cruz denounces new gun restrictions as he argues with hecklers in Austin,390
391,https://www.texastribune.org/video/?page=2,Texas Tribune,TEXAS TRIBUNE STAFF,BY TEXAS TRIBUNE STAFF,Video,391
392,https://www.texastribune.org/2022/09/17/greg-abbott-migrant-busing/,Texas Tribune,MATTHEW WATKINS,"SEPT. 17, 2022",Second bus with migrants arrives outside Kamala Harris’ residence,392
393,https://www.texastribune.org/2022/09/?page=4,Texas Tribune,BRIAN LOPEZ,BY BRIAN LOPEZ,"News For September, 2022",393
394,https://www.texastribune.org/2022/09/24/texas-prosecutors-abortion-restrictions/,Texas Tribune,POOJA SALHOTRA,"SEPT. 24, 2022","New abortion restrictions are impractical and resource-draining, Texas prosecutors say",394
395,https://www.texastribune.org/2022/09/19/u-s-mexico-border-arrests-record-2022/,Texas Tribune,THE WASHINGTON POST,"SEPT. 19, 2022",Arrests along U.S.-Mexico border top 2 million a year for the first time,395
396,https://www.texastribune.org/2022/09/19/texas-book-bans/,Texas Tribune,BRIAN LOPEZ,"SEPT. 19, 2022","Texas has banned more books than any other state, new report shows",396
397,https://www.texastribune.org/2022/09/21/texas-fentanyl-deaths-dps/,Texas Tribune,ZACH DESPART,"SEPT. 21, 2022","As fentanyl plagues Texas, Gov. Greg Abbott directs state police to focus on cartels",397
398,https://www.texastribune.org/2022/09/19/second-amendment-texas-case-buy-guns-felony-indictment/,Texas Tribune,JOLIE MCCULLOUGH,"SEPT. 19, 2022",Texas judge rules that people under felony indictment have the right to buy guns under the Second Amendment,398
399,https://www.texastribune.org/2022/09/20/texas-migrants-massachusetts-lawsuit-ron-desantis/,Texas Tribune,STEPHEN NEUKAM,"SEPT. 20, 2022",Three Venezuelan migrants flown from Texas to Massachusetts sue Florida Gov. Ron DeSantis,399
400,https://www.texastribune.org/2022/09/24/mayra-flores-aron-pena-sexual-harassment/,Texas Tribune,MATTHEW CHOI,"SEPT. 24, 2022",U.S. Rep. Mayra Flores’ campaign says she misspoke when she said she fired aide after sexual harassment allegations,400
401,https://www.texastribune.org/2022/09/19/bexar-county-florida-marthas-vineyard-investigation/,Texas Tribune,ALISHBA JAVAID,"SEPT. 19, 2022",Bexar County sheriff launches investigation into Florida flying migrants to Martha’s Vineyard,401
402,https://www.texastribune.org/2022/09/21/east-texas-free-medical-clinic-medicai/,Texas Tribune,PUBLIC HEALTH WATCH,"SEPT. 21, 2022",A free medical clinic opened in rural East Texas. Thousands poured in for help.,402
403,https://www.texastribune.org/2022/09/22/texas-counties-covid-hazard-pay-attorney-general/,Texas Tribune,TRENT BROWN,"SEPT. 22, 2022",Texas AG says counties can spend COVID relief funds on extra pay for elected officials without public notice,403
404,https://www.texastribune.org/2022/09/20/migrants-el-paso-texas-shelter/,Texas Tribune,URIEL J. GARCÍA,"SEPT. 20, 2022",El Paso scrambles to move migrants off the streets and gives them free bus rides as shelters reach capacity,404
405,https://www.texastribune.org/2022/09/22/eric-adams-texas-tribune-festival/,Texas Tribune,JAMES BARRAGÁN,"SEPT. 22, 2022",New York Mayor Eric Adams slams Greg Abbott for refusing to coordinate migrant busing effort,405
406,https://www.texastribune.org/2022/09/23/texas-rape-exceptions-robert-nichols/,Texas Tribune,POOJA SALHOTRA,"SEPT. 23, 2022",Republican Texas senator says he will support new rape exceptions for abortion,406
407,https://www.texastribune.org/2022/09/19/centente-texas-medicaid-settlement/,Texas Tribune,KAISER HEALTH NEWS,"SEPT. 19, 2022",Insurance giant Centene to pay Texas $166 million in Medicaid drug pricing settlement,407
